filename,number,datetime,text
"audio_13@22-01-2024_17-12-10.ogg,audio_14@22-01-2024_17-12-50.ogg","13,14",2024-01-22 17:12:10,"Please check how many campaigns, email campaigns, weights and biases had last year. Cause in the contract, the sponsorship contract, we had six and lately they added two. So I'm wondering if these two are extra ones. So if they are, please prepare a invoice for them. Yeah. And also please check like if there are any due invoices. I think AI Infrastructure Alliance hasn't paid us for like two quarters. Please check with them too to see if they can pay. And yeah, when you write to weights and biases with, yeah, maybe let's, yeah, let's create, I'll send another voice message. So I just lost my thought. So I wanted to ask you to ask Agata if they plan to have any more email campaigns this year. And if yes, ask her which slots they want to book because we are, so write something like this. Hi Agata, right now we are planning our activities for 2024 and we were wondering if you want to run any email campaigns with us. If yes, please let us know and we will book the slots for you. Something like that."
audio_15@24-01-2024_13-54-25.ogg,15,2024-01-24 13:54:25,so the title doesn't really reflect the content is this prepared by the guest or Johanna I guess it's from the guest so please ask him to adjust the title so it reflects better the content otherwise apart from that it's ready
audio_16@25-01-2024_21-10-06.ogg,16,2024-01-25 21:10:06,"We should reach out to all the past clients that used a newsletter and also others that didn't. Like for example, DoubleCloud, I don't think they, I'm not sure if they used a newsletter. Basically all the clients we had. Yeah, so the newsletter clients plus DoubleCloud, who else? Yeah, so let's compile a list with emails and names and also have created template. Like, hey, something like, hey, you run a newsletter campaign with us at some point. Now we're making plans for 2024. And yeah, let us know if you want to run any other campaigns with us, something like that. So let's create a template. Let's come up with a list and we should start sending these emails cause I look at the plan for the schedule for the newsletter and I see that, yeah, we need to fill a lot of slots. And I think we should start with existing clients. And in the meantime, I'll try to come up with a way that you can help me also reach out to potential new clients."
audio_17@25-01-2024_22-09-57.ogg,17,2024-01-25 22:09:57,"You can write something like, hey, Sahar, we've noticed that you are planning an event and we wanted to let you know that we will be happy to help you promote the event. We have a community with how many, I don't remember how many members in Slack, so check it out. And we have a newsletter with some number of subscribers, also check it in MailChimp. So if you want to promote with us, let us know and we'll be happy to help you. Something like that. So let's have this as a template and then run it by me and then if it's fine, we can send this to Sahar tomorrow."
audio_18@25-01-2024_22-13-17.ogg,18,2024-01-25 22:13:17,"Also, please ping AI Infrastructure Alliance about the overdue payments. I pinged Maria in Slack separately, but an email wouldn't hurt."
audio_19@26-01-2024_08-48-46.ogg,19,2024-01-26 08:48:46,"I know you already have a lot of things that I sent you yesterday Also, I wanted to remind you to send the report for all the things you've done since Last Saturday, right? So it's from Saturday till Friday and I will set up a reminder So then every Friday in the morning you will get That yeah"
audio_20@26-01-2024_12-16-52.ogg,20,2024-01-26 12:16:52,"Also, for this webinar with Sahar, let's use the same subject. So it's Quack plus Data Talks Club, no need to include anything else. And then I'd say we've seen that you're planning an event and we wanted to reach out to say that we can help you promote it. We have a community with 48k plus members on Slack and we have a newsletter with more than 86k subscribers. Let us know if you would like to collaborate with us on promoting the event. Yeah, and that's it. So please send me another one."
audio_21@29-01-2024_13-56-41.ogg,21,2024-01-29 13:56:41,"Too bad, I noticed it only now. So the reason I noticed is because there is another email about Quack and Amit. And then I thought, wait a minute, like, why do we have two emails to Quack? And then I come, fuck, it's actually not Quack. So we need to be more careful. So when we write to clients, sponsors, potential sponsors, we also check the domain name. Like here is sahar, whatever, at iguazio.com. And then we need to make sure that the subject matches, actually matches the domain name, right? And then we send. I think we should start maybe preparing a process document for reaching out to sponsors with some templates. So let's start that. Mention that step. And yeah, we'll add more information there. Because I also want to start, like, we have this CRM with many, many things. And I want to start using it more. I've used it a couple of times recently. But I want to start using it more for finding sponsors."
audio_22@03-02-2024_16-28-05.ogg,22,2024-02-03 16:28:05,"Did we send it in the voice? I asked you to prepare for the course workshops for two days for 1,000. I just don't remember seeing it. Maybe I just missed it."
audio_23@03-02-2024_21-27-40.ogg,23,2024-02-03 21:27:40,"Please create an invoice for $5,000, US dollars, for Saturn Cloud. I think we should already have Saturn Cloud in our address book. If not, let me know. So, in this $5,000, $2,000 should be for sponsoring the course, Machine Learning Zoom Camp, and $3,000 for sponsoring a competition. And then include a payment link. I don't remember how much percent. Okay, for this one, let's not add percent, because previously the arrangements we had with them did not include any fees for processing the payment link, so just create that. And then, once it's ready, make sure that, in case they want to pay, not with the payment link, but with the address. It's the Revolute email. And then I'll try to find the email right now that you want to use for sending."
audio_24@07-02-2024_19-16-28.ogg,24,2024-02-07 19:16:28,"So our accounts accountants tell me Have told me that We have not sent them the documents so they expected that we would use the link the new way of uploading documents and We sent them an email. So can you please redo it for? January using the upload link and also send it with Like the February one or wait, we don't have February on so yeah for January, please send it with the new upload link Because they asked me to do it as soon as possible"
audio_25@13-02-2024_13-58-12.ogg,25,2024-02-13 13:58:12,"They both just sent me a connection request and I think they have an interesting profile. So what you can write to both of them is, like, hi, name, thanks for your connection request and reaching out. I took a look at your profile and I found it quite interesting. So I was wondering if you'd be interested in being a guest at our podcast. And then you sent a link that you usually send that describes our events and a link to our podcast, datadogs.club.html, something like that. It's in the document, in the Google document. And let's create a new template. So this is for people who send a connection request to me, then this is something we can send them. And also, please send me the template we sent now. I think we might need to update it slightly. I want to update it. So please send me the template. I'll make some adjustments."
audio_26@14-02-2024_16-30-52.ogg,26,2024-02-14 16:30:52,"Please make sure that all the events on Luma are also, I'm also hosting them because I cannot change them. Like you need to add me as a host too. So I think we should have this in the process documents. If we do not, please review them and add me, add that in the process. Because like I'm trying for the second day in a row, I'm trying to change something. I should want to change the link, but I cannot. And also I think the next one, the one from Alex is not managed by me too. And he said that he has not received the link and we have not asked him to promote the event. So this is important. Please do not forget to do that."
audio_27@15-02-2024_21-52-35.ogg,27,2024-02-15 21:52:35,So what I just forwarded you is We asked this is related to your question from Gonzalo What kind of things students need for the webinar so can you please from this Post check the answers and copy all the answers to a Google document and then send it to him
audio_28@22-02-2024_20-04-47.ogg,28,2024-02-22 20:04:47,when you reply you can say yeah thanks for pointing out here's the updated in voice with USD
audio_29@23-02-2024_14-07-17.ogg,29,2024-02-23 14:07:17,"Hey Francis, never convert euros to USD directly. Use Google. We have process documents for that. What you send is costing us money. We will get 500 euros less or something like that. So please use Google to convert from 5500 to USD and then send it to them."
audio_30@29-02-2024_17-35-38.ogg,30,2024-02-29 17:35:38,"Did quack confirm so if they did and I think there are two free slots for March, right? So if double cloud doesn't take the one on Monday Because I guess quack wants the other one right that is not on Monday and for double cloud They need something as soon as possible so like if they I Guess it's fine, right? So like we have this lot on Monday for double cloud if they go for it, and the other one is for quack if I am not mistaken"
audio_31@29-02-2024_17-51-07.ogg,31,2024-02-29 17:51:07,"Okay, so maybe add a note somewhere in a process document or somewhere else. So I think you know that, but just to make sure you have the information. The newsletter costs 1,500 euros and the workshop costs 5,000. So just in case, I think you already know the prices. But yeah, maybe put this in a document somewhere."
audio_32@29-02-2024_21-50-57.ogg,32,2024-02-29 21:50:57,so we can tell them something like yeah it was a bit of a short notice looks like we didn't manage to agree to arrange everything in time so apologies for that let's aim for the next free slot which is and then we can give them the next date provided that they don't they do not answer tomorrow by let's say 11 a.m. so if they don't we go forward with double cloud right and we write them that yeah like it was a bit of we were a bit short on time so yeah like let's aim for the next free slot
audio_33@01-03-2024_09-35-13.ogg,33,2024-03-01 09:35:13,"So we can tell them something like, yeah, with payment link it's possible. So, but we add like 2% or however many, and then we can immediately send the invoice and ask them to, like the usual stuff you send for, like this template and so on. But probably we should create a different document so Quark does not see that. So let's create a copy so they don't see that there is somebody else editing the document. And I think let's send them the, like in half an hour, let's say, if nobody answers in half an hour, we can send them."
audio_34@02-03-2024_11-49-57.ogg,34,2024-03-02 11:49:57,So when you write on a Hita about the scheduling please apologize to hear about miscommunication and then offer a few slots in the future and also when I send some context to Johanna please make sure Johanna actually sees that so it's not like I'm just sending it to you but it's more like I'm sending it to you so you send it to her okay thanks
audio_35@02-03-2024_12-31-19.ogg,35,2024-03-02 12:31:19,"You can ask her to send us, to send me or you, just give answer with email, so then you can contact her to arrange it in a couple of months, something like that."
audio_36@02-03-2024_12-33-37.ogg,36,2024-03-02 12:33:37,"Also, Hagop, one of the speakers, previous speakers, wants to speak again. I have asked him to write to you. He knows your email. So expect a message, an email from him sometime in the future."
audio_37@03-03-2024_23-01-16.ogg,37,2024-03-03 23:01:16,"Also, please write on a heater that tomorrow we do not have a call I From our conversation with Johanna and is to that she just wanted to have a chat But like I don't see a point. So maybe you can write here that Yeah, I apologize for miscommunication for tomorrow we planned to have a recording of the podcast episode but It seems like we need a bit more time, so let's push it by a few weeks you suggest here a different date and then we can just Yeah, ask her if she has any questions or concerns that we can address and then we can just yeah do that"
"audio_38@13-03-2024_07-53-12.ogg,audio_39@13-03-2024_07-53-33.ogg","38,39",2024-03-13 07:53:12,"It just occurred to me, did we send the emails of people who registered for the workshops for both DLT Hub and Rising Wave? Because like we had this workshop, sponsored workshop, and there is the tick that people can mark, check if they want to share their email with sponsors. Because I don't remember seeing an email from us to them, so I just wanted to check if we actually did that. Yeah, and also for the other workshop that we had recently, was it from Curren AI? Yeah, I think it was Curren AI."
audio_40@18-03-2024_13-41-43.ogg,40,2024-03-18 13:41:43,"So, I don't think it was average, we usually have fewer viewers joining live. So maybe what you can do is you can share the live stats. Remember this graph that we sent to sponsors about the event? About the number of live joiners or like concurrent live viewers, I don't remember how it's called. So then maybe you can just take this one and then for comparison send a couple of screenshots from, I don't know, P Class 2 or 3, not the one that we had today. Oh, yeah, including the one that we had today and then like maybe take one from a month back, I don't know, and then show like this is yours and this is what we had and I think it was quite actually good for a podcast interview, so make sure that when we do this you only take podcasts. And then what you wrote in the email was that you wrote signups, registrations, so not the... Like I will read the message one more time."
"audio_41@18-03-2024_13-42-44.ogg,audio_42@18-03-2024_13-43-05.ogg","41,42",2024-03-18 13:42:44,"Yeah, you write number of participants. This is the number of people who registered. So this is a very important distinction. And like, we also need to, like for Luma and Meetup, right? So you can just say this is number of registrants we had from Luma, from Meetup. This is how many people came to the live event. You can include a chart and you can say for comparison. So that one had that many live viewers. That one had that many live viewers. And then you can also include the number of views from YouTube. You can say, okay, look for now, you had this number of views and then take a few episodes from, I don't know, last month, podcast episodes. And you say, okay, this is the number of views they got. and yeah thanks for picking this up because like I completely missed that email even though I see myself in the recipients I don't know like I didn't see this email so thanks a lot for picking up picking that up and asking me for feedback"
audio_43@24-03-2024_10-38-31.ogg,43,2024-03-24 10:38:31,"Okay, I still need your ideas on how to make sure we don't miss on important things like sending templates to sponsors. In the meantime, I created two reminders. So the first reminder will go off every Friday. We already have one on Friday, checking with Dave and Pavel about podcast episodes. So there will be a different one, which reminds you to send a report, a weekly status report from previous Saturday. So please also include weekends because I know you sometimes do things on the weekend and I'm really grateful to you for doing that. But please include that. I know it's just a little bit of time, but I just want to know your total weekly hours, right? And then the other thing, I don't know if there is probably a better way. Please let me know if you have any ideas. But for making sure we don't miss anything, I created another reminder that goes off every working day from Monday to Friday. It will go together with this inviting people to Slack."
"audio_44@24-03-2024_10-40-34.ogg,audio_45@24-03-2024_10-41-04.ogg","44,45",2024-03-24 10:40:34,"Yeah, so regarding that reminder, so what I want you to do is every day, I want to check if we need, if there are any missing Trello cards. So for example, for sponsors, right? We know that maybe you can do it every Monday or I don't know, however you feel like, but like at least one per week, we need to check if there are any missing Trello cards. Like for example, we know that in three weeks, we will have an email, sponsored email, and we don't have a Trello card for that, create that, right? So then we make sure we don't forget that. And then every day go to the Trello board and go through the cards to see if anything needs to happen today, right? I know it's not the most effective way because we potentially, you will need to go through all the cards, click on each card and see what's inside. Of course, you don't need to do that every day because you'll probably know that, okay, probably for this card, I need to do that and that. But still, like my idea is that you open every day the Trello board and go through each card and see is there anything I need to do for that card today, right? And this way, we'll make sure that we don't forget to like send these emails and do other things like for sponsored workshops. This is very important to send a report or for newsletters also, it's very important to send reports, right? So we don't want to forget about these things. So we need to do them according to our processes. So for that, please go through all the Trello cards and make sure we don't forget to do anything. And then I know that it's not the most effective way, like maybe you can think of a different way of doing that. Like, I don't know, it would be nice to know like what kind of things we have in each of the trailer cards and then having a list of to-dos from these trailer cards for today. I don't know if there's a way to do that. It would be more effective. You would not need to go through all the cards. But for now, I don't know if there's a better way."
audio_46@24-03-2024_10-42-41.ogg,46,2024-03-24 10:42:41,"And please also When you do that, I want you to create two Process documents. So the first process document is for the first reminder. So record from the like you receive a Message in slack or I'm sorry in telegram saying you need to do that Then you take a screenshot of that then you show what exactly you need to do to Create your weekly report so which includes adding data to the spreadsheet and then adding data to the board document and creating a screenshot and sending it to me then What else a marking this is done in the spreadsheet with to do right? So all these steps, please create a process document for that And also for the second one for the second reminder Also include all the steps that you need to do Like for example check if there is any missing Newsletters, right So for that you go to the schedule you check if there's anything new then you update the trailer board Then you go through the existing Cards to see if there is anything missing If anything that you need to do today, so please document on all that and then also show how your market is done, right? So this way we will have documents that describe exactly how I need to approach that and then please send me these two documents For checking after you did them"
"audio_47@24-03-2024_10-44-32.ogg,audio_48@24-03-2024_10-45-00.ogg","47,48",2024-03-24 10:44:32,"Also another note, I want you to be super careful and double-check everything when it comes to dealing with sponsors Because this is how we earn money and if we don't look professional professional sponsors might not decide to work with us and We might lose money and I need to pay salary to you and Valeria and all the freelancers and you so the whole expenses, right? so please approach carefully when we deal with sponsors and And Make sure that everything happens in timely manner like according to the process. This is very important because This is how we earn money and we want to look professional. So we don't want to have an image of people who are sloppy, right, so please approach this carefully And of course, like when we talk to potential guests or guests or podcast guests, we also want to be careful, right? This is also important, but we need to make sure we approach that carefully too. But like when it comes to sponsors, this is how we earn money. So we need to double check that everything is good. Okay, so please bear this in mind. And yeah, we want to look professional."
audio_49@12-04-2024_13-08-35.ogg,49,2024-04-12 13:08:35,"Maybe try something like this. Hey Helen, happy Friday. We soon will have described what we will have. And you can say that this book is already available for free on the Databricks website. That's why it doesn't make any sense. It doesn't make sense for us to provide five free copies. So we were wondering if instead of five free copies we can give them access to the O'Reilly Learning Platform. And ask here if it's okay."
audio_50@12-04-2024_13-27-43.ogg,50,2024-04-12 13:27:43,"Maybe add a little bit of context in case she doesn't remember that typically we give them five copies or three copies of the e-book, but as you wrote so at the end Write what you wrote"
audio_51@19-04-2024_11-19-02.ogg,51,2024-04-19 11:19:02,"So maybe I can share a tip with you So when I watched a video and then I want to make sure I don't forget anything from that video I don't know if this is useful for you. But this is how I do this personally. So I have a piece of paper and when I go through the video there is a like I Take notes of what I need to do from that video or what I want to remember what I want to put in some notes So maybe you can do something like that, so then you don't forget so you watch the video you take notes Right, and then you come back to those notes and this way you will not forget that I asked something, right? So then you will remember. Uh-huh, like you asked not to create a process document, but just give the context and link the long video just for example or Something else right. So sometimes I know that in one video I can ask you like three four or five things and It's very easy to forget to do one or two of them, right and if you do it this way, then Probably the chances that you will do this are lower, right? So this is just advice. Maybe you will find something else that works, but we just need to make sure that We don't forget things right so like I want to tell you something I want this to happen If it doesn't and I have to recheck What do you do? Like yeah, then I lose time you lose time then we're doing this and yeah, it's kind of not fun Okay, and thanks again for your work"
audio_52@02-05-2024_14-37-25.ogg,52,2024-05-02 14:37:25,"So, let's plan a pre-launch Q&A for next Tuesday at 4.30 p.m. Central European time, Berlin time, for the ML Ops course. Please coordinate with Valeria about the content."
audio_53@06-05-2024_18-36-26.ogg,53,2024-05-06 18:36:26,yeah my idea with this document where we put like if there is a mistake we put the mistake and how to address it so my uh thinking is if we do that then it becomes clear in which things there are more mistakes than in others and maybe there are some areas to which we can pay more attention but also for you you kind of will remember okay like it looks like i made a mistake previously in this process so maybe next time i'll pay more attention to that one so that's my thinking i hope it will help but also like if you have any other ideas how we can make sure that it doesn't happen again it would be good because i understand that you might be quite overwhelmed with the information that you need to process so we just need to think of ways how to make it easier for you or make it more difficult for you to make a mistake right and learn like sometimes they happen this fine this is this always happens in our life but like how we can make sure that we avoid repeating them in the future so for now we can just start collecting this in a document and then see maybe something comes up but if you have some other ideas uh yeah please let me know
"audio_54@21-05-2024_08-41-54.ogg,audio_55@21-05-2024_08-42-09.ogg","54,55",2024-05-21 08:41:54,"Remember, I recently asked you to upload a video from Antonis, so please use that video for the URL in the Luma Project of the Week event. Ir pasirinkite jį į e-mailį. Jūs pasirinkite e-mailį su mūsų, pasirinkite jį ir pasirinkite e-mailį su mūsų. Ir mes išsidėsime mažai. Įmušimas yra šiandien, taigi pasirinkime jį šiandien."
audio_56@21-05-2024_19-33-48.ogg,56,2024-05-21 19:33:48,"Hi everyone! Welcome to day and number of the day of Project of the Week Data Version Control. We're starting soon and the plan for the day you can see in Slack and then you can also add the link to Slack. This is what you... this was the link that we used in the event. So you can write, you can join the Project of the Week channel using this link. And then to learn more about Project of the Week check this video. This is what Antonis created. So... and then add and have fun. So send me this for checking and then just do it for all the days. Then we should save it in the process document or in the templates, whatever."
audio_57@04-06-2024_09-37-48.ogg,57,2024-06-04 09:37:48,And maybe ask them if they know and if they can put us in touch with a marketing person because we see that they are Promoting their product and we also want to help so we'll appreciate if they put us in touch something like that And please send me this before sending
audio_58@06-06-2024_16-12-54.ogg,58,2024-06-06 16:12:54,"I don't know if we already have a process document for that, but maybe create a process document where you show how to check the merchant account to see if there is any income and include the link to that to the current process document where you show how to check the merchant. So just as a part of the process document, say like step whatever, check the merchant account and link the new process document."
audio_59@06-06-2024_17-56-00.ogg,59,2024-06-06 17:56:00,"By the way, the workshop for Akella is sponsored by DLT Hub, so get the logo from the previous one, the one that Adrian did, and also put it on the cover."
audio_60@07-06-2024_07-33-56.ogg,60,2024-06-07 07:33:56,"So first thing is when I send a screenshot from some clients, then it means that we received the money So please write to them acknowledge the received as soon as possible and second when I sent you a screenshot with Money that some service took from us Usually the payment amount the original payment amount was in dollars But then I sent you the amount in euros, so then we have accurate information in our Spreadsheet. So please create a process document for that and Describe what to do when I send a screenshot With some payment either received or spent"
"audio_61@07-06-2024_17-44-49.ogg,audio_62@07-06-2024_17-45-22.ogg","61,62",2024-06-07 17:44:49,"It's better to say that the last month we accidentally sent you a wrong invoice. The reason was that we, when sending an invoice to this tag, we forgot to add VAT. So then we added VAT and now we have the updated invoice. So something like that. Because from what you wrote, it's not clear. Well, they will have to guess many things. And yeah, please make sure that the invoice is not just for VAT, but that this is the sum for the newsletter promotion plus VAT. So it should be like 1,500 plus 18 percent, something like that. So the invoice should contain the whole thing. Okay."
audio_63@07-06-2024_17-47-47.ogg,63,2024-06-07 17:47:47,I think we should be as detailed as possible so it's very important so please describe you say that in this month we sent an invoice without VAT they paid then we realized we forgot to add a VAT we sent another invoice and then they paid only the VAT that's why last month we sent you this invoice and this is a wrong invoice you should not include it when you submit the tax declaration or maybe you don't say that you say like please disregard that invoice this is the rated invoice please use that and you can say when they paid the original sum and when they paid the VAT right and I think this is important so let's be as detailed as possible and show me that one more time before sending it to them
audio_64@07-06-2024_17-52-58.ogg,64,2024-06-07 17:52:58,"Yeah, I think it's okay if in the table, in our bookkeeping spreadsheet, we have the first invoice on the first payment and then the second payment. So first just $1,500 and then the VAT. Because it better reflects that there were two payments, right? And then we just explain. Well, I already told you."
audio_65@10-06-2024_15-05-03.ogg,65,2024-06-10 15:05:03,"Do we use the CRM for tracking payments? I just saw the email from Elisabetta from DoubleCloud and maybe we don't. Remember, we created this CRM in order to remember about things that weren't paid. So it's great if we use it and keep track of paid invoices and invoices we haven't created and so on."
audio_66@12-06-2024_20-23-12.ogg,66,2024-06-12 20:23:12,"So the other file is actually a tool that I wrote that allows to use this ffmpeg And you don't need to install or anything. You can just use it for Cutting and cutting videos and increasing volumes Volume, I have no idea why it doesn't work Yeah, we will figure it out"
audio_67@14-06-2024_20-00-02.ogg,67,2024-06-14 20:00:02,So it should be Right there that it's six newsletters so call it a Sponsorship then in the same line write six newsletter issues and a logo on the website and The cost is the same so it should it should be like that because we sell them six newsletter issues And the logo on the website
audio_68@02-07-2024_15-30-40.ogg,68,2024-07-02 15:30:40,"I just noticed that Arise has used all their promotion slots So maybe we should ping them and ask if they want to reserve anything else, so please Write an email to first send the email to me to David And ask him if they want to book more Yeah"
audio_69@02-07-2024_16-02-54.ogg,69,2024-07-02 16:02:54,"So a small comment about that. We don't want to be, to look too available. So this way they will, they can use it as leverage next time we negotiate deals. They see that we have too many open slots and next time they can say, oh, we will not pay that much, right? So please don't send this in the future. Maybe it's better to select just one slot every week, every month and then send it to them so that we don't look too free, too available. Please create some sort of process document for that. When, what to do when people ask for slots and then describe different situations, like what to do when we are almost fully booked and when we are not booked fully like now, okay? And then send me this document for checking."
audio_70@04-07-2024_17-12-53.ogg,70,2024-07-04 17:12:53,so you see how much the line is like for taxes it's quite a lot so usually that one was so usually the price is lower right so that one was for the tax declaration from the last year I think yeah 2023 and I think I already made a comment that we should name it differently maybe I did not I don't remember I think I remember doing something like that mentioning that it's not correct and we for some reasons have two records with the same amount which is not right so we have monthly payment which goes at the end of the at the beginning of the month but that one was like not exceptional but like yeah irregular let's say and I think you did it on your own remember I sent you an email and you're supposed to pay but instead you just put it to the spreadsheet maybe that's why I don't know but yeah please check it out check it like if we I don't think we have we made two payments so it was one payment and there the it should be not may whatever but like just 2023 because it was a declaration for the entire year not usual bookkeeping
audio_71@08-07-2024_09-17-26.ogg,71,2024-07-08 09:17:26,"Our lawyer just told me that we don't have the right cover for the recent webinar, that we have a podcast cover. So this is one of the other things we should pay attention to. Please add it to the document with things to look out for, okay?"
audio_72@08-07-2024_19-36-05.ogg,72,2024-07-08 19:36:05,"I moved the events with Rafael to next Thursday Just in case we don't forget to so that we don't forget to To move it. So once we decide on the exact date, we will update one more time The reason I did that is if we forget then tomorrow everyone who signed up will get a reminder and this is we Something we'll want to avoid definitely and in general like if it's a short notice like The event is tomorrow and today we cancel just move it one week ahead to any random day because we don't want accidentally end up in a station when People get notification that event starts they go there. They join but there is nothing right? I don't know if we have an a process document for that. If we don't please create and send it to me"
audio_73@29-07-2024_16-28-39.ogg,73,2024-07-29 16:28:39,"Yeah, sometimes I will be recording voice messages, sometimes I'll be recording Loom videos. So with these Loom videos I record something usually and then I ask you to either do it or document it in a process document. So right now what you can do is go through the process documents that we have, at least just briefly understand what is there. And then for the to-do items, for the items that we did in the past, that are completed already, try to find what is the process document that is needed to complete this task. I will help you with that, but for now maybe try to find it out yourself. And then I'll take a look at what you found and say that okay, this is the right document or this is not the right document. And then also, yeah, you'll need to create a GitHub account and then there are some items in the to-do list, you can also check them out, but yeah, you'll need to know how to do them and for that you'll need to review process documents."
audio_74@01-08-2024_11-49-21.ogg,74,2024-08-01 11:49:21,"So, yeah, it's sort of correct, but we typically, the process is following. So when we arrange a podcast or some other event, what I do is, or what we do, is we first get an email of the speaker, and then we use email to arrange the things. So I will now forward you one of the conversations we had with a potential, or with a speaker, how it looks like, and yeah, maybe you'll find another process document that describes this process that we do through email. And if we don't, we will need to update the process document, because what you send is only partially correct, and it doesn't really reflect what we currently do."
"audio_75@01-08-2024_12-51-29.ogg,audio_76@01-08-2024_12-51-50.ogg","75,76",2024-08-01 12:51:29,"So this one is when I or you or somebody already speaks with somebody over social media or Slack or something else and here we already talked about it somewhere and then we ask for the email and we have the email and now we want to use the email to send to ask them to participate in this thing. So we have talked about this. And also like I'm thinking right now, this is something I wanted to ask you to do later when you finish the migration, like moving the documents from the shared folder to the shared drive. But now since you ask all these questions, it would be nice to capture my answers to these questions to somehow save them. So I think for this, right now for this template that you asked, please write what I responded. So then we have the context, when exactly we need to use. And in general, I want to have this for all the process documents. For the process documents, I want us to mention why we have this process and when to use them. Like what exactly, yeah, so why and when. So then there is clarity of what exactly why this document is needed. Because right now for process documents, I look at the document and it's just a sequence of steps, like with no real description of what exactly is happening, of why we need to do this. And the same with the templates. So right now the template is sent. Let's write, let's capture what I said and write it there when we use it, right? Like right now you don't have to do it for all the templates and all the process documents. But like when you have questions, like is this the right document or not, I'll record you either a video or a voice note. And then please start saving this information there too. I think actually like for the thing you sent for the screenshot like it already says when to use but we can definitely expand on that"
