filename,number,datetime,text,title,edited
"audio_13@22-01-2024_17-12-10.ogg,audio_14@22-01-2024_17-12-50.ogg","13,14",2024-01-22 17:12:10,"Please check how many campaigns, email campaigns, weights and biases had last year. Cause in the contract, the sponsorship contract, we had six and lately they added two. So I'm wondering if these two are extra ones. So if they are, please prepare a invoice for them. Yeah. And also please check like if there are any due invoices. I think AI Infrastructure Alliance hasn't paid us for like two quarters. Please check with them too to see if they can pay. And yeah, when you write to weights and biases with, yeah, maybe let's, yeah, let's create, I'll send another voice message. So I just lost my thought. So I wanted to ask you to ask Agata if they plan to have any more email campaigns this year. And if yes, ask her which slots they want to book because we are, so write something like this. Hi Agata, right now we are planning our activities for 2024 and we were wondering if you want to run any email campaigns with us. If yes, please let us know and we will book the slots for you. Something like that.",Email Campaigns and Invoices,"Please check how many email campaigns Weights and Biases had last year. In the sponsorship contract, we initially outlined six campaigns, but they recently added two more. I’d like to confirm if these two are considered extra. If they are, please prepare an invoice for them.

Additionally, could you verify if there are any outstanding invoices? I believe the AI Infrastructure Alliance hasn’t paid us for the past two quarters. Please follow up with them to see if they can settle this.

Lastly, when you write to Weights and Biases, I’d like you to ask Agata if they plan to have any more email campaigns this year. If they do, inquire about the specific slots they would like to book. You could frame it like this: “Hi Agata, we are currently planning our activities for 2024 and would like to know if you intend to run any email campaigns with us. If so, please let us know, and we will reserve the slots for you.”"
audio_15@24-01-2024_13-54-25.ogg,15,2024-01-24 13:54:25,so the title doesn't really reflect the content is this prepared by the guest or Johanna I guess it's from the guest so please ask him to adjust the title so it reflects better the content otherwise apart from that it's ready,Title,"The current title does not accurately reflect the content of the material. It appears to be prepared by the guest or Johanna. 

Please ask the guest to adjust the title so that it better aligns with the content of the piece. 

Aside from that, everything else is ready for submission."
audio_16@25-01-2024_21-10-06.ogg,16,2024-01-25 21:10:06,"We should reach out to all the past clients that used a newsletter and also others that didn't. Like for example, DoubleCloud, I don't think they, I'm not sure if they used a newsletter. Basically all the clients we had. Yeah, so the newsletter clients plus DoubleCloud, who else? Yeah, so let's compile a list with emails and names and also have created template. Like, hey, something like, hey, you run a newsletter campaign with us at some point. Now we're making plans for 2024. And yeah, let us know if you want to run any other campaigns with us, something like that. So let's create a template. Let's come up with a list and we should start sending these emails cause I look at the plan for the schedule for the newsletter and I see that, yeah, we need to fill a lot of slots. And I think we should start with existing clients. And in the meantime, I'll try to come up with a way that you can help me also reach out to potential new clients.",Reaching Out to Clients for 2024 Newsletter Plans,"We should reach out to all the past clients who used our newsletter, as well as those who didn't. For example, I'm not certain if DoubleCloud utilized a newsletter, but we should include them on our list. Essentially, we want to contact all our former clients.

Let's compile a list that includes their names and email addresses. Additionally, we need to create a message template. It could say something like, ""Hi, you previously ran a newsletter campaign with us. We are making plans for 2024 and would love to know if you're interested in running any new campaigns."" 

Once we have the template and the list ready, we should start sending these emails. I reviewed the schedule for our newsletter and noticed that we have many slots to fill. Prioritizing our existing clients will be a good start.

Meanwhile, I'll also think of ways you can assist me in reaching out to potential new clients."
audio_17@25-01-2024_22-09-57.ogg,17,2024-01-25 22:09:57,"You can write something like, hey, Sahar, we've noticed that you are planning an event and we wanted to let you know that we will be happy to help you promote the event. We have a community with how many, I don't remember how many members in Slack, so check it out. And we have a newsletter with some number of subscribers, also check it in MailChimp. So if you want to promote with us, let us know and we'll be happy to help you. Something like that. So let's have this as a template and then run it by me and then if it's fine, we can send this to Sahar tomorrow.",Event Promotion Offer,"Hi Sahar, 

We've noticed that you are planning an event, and we wanted to let you know that we would be happy to help you promote it. 

We have a community on Slack with a considerable number of members, and we also have a newsletter that reaches a significant number of subscribers through MailChimp. 

If you're interested in promoting with us, please let us know, and we’ll be happy to assist you. 

Let's use this as a template, and once you review it, we can send it to Sahar tomorrow."
audio_18@25-01-2024_22-13-17.ogg,18,2024-01-25 22:13:17,"Also, please ping AI Infrastructure Alliance about the overdue payments. I pinged Maria in Slack separately, but an email wouldn't hurt.",Payment Reminder for AI Infrastructure Alliance,"Please reach out to the AI Infrastructure Alliance regarding the overdue payments. I have already messaged Maria separately on Slack, but a follow-up email would also be beneficial."
audio_19@26-01-2024_08-48-46.ogg,19,2024-01-26 08:48:46,"I know you already have a lot of things that I sent you yesterday Also, I wanted to remind you to send the report for all the things you've done since Last Saturday, right? So it's from Saturday till Friday and I will set up a reminder So then every Friday in the morning you will get That yeah",Report Reminder and Weekly Summary,"I know you already have a lot of information that I sent you yesterday. 

I wanted to remind you to send the report detailing everything you have accomplished since last Saturday. This report should cover activities from Saturday until Friday. 

To help with this, I will set up a reminder. You will receive a notification every Friday morning to ensure you don't forget."
audio_20@26-01-2024_12-16-52.ogg,20,2024-01-26 12:16:52,"Also, for this webinar with Sahar, let's use the same subject. So it's Quack plus Data Talks Club, no need to include anything else. And then I'd say we've seen that you're planning an event and we wanted to reach out to say that we can help you promote it. We have a community with 48k plus members on Slack and we have a newsletter with more than 86k subscribers. Let us know if you would like to collaborate with us on promoting the event. Yeah, and that's it. So please send me another one.",Webinar Promotion with Sahar,"For the upcoming webinar with Sahar, let’s use the same subject: Quack plus Data Talks Club. There’s no need to include anything else.

We've noticed that you’re planning an event, and we wanted to reach out to offer our assistance in promoting it. Our community consists of over 48,000 members on Slack, and we have a newsletter with more than 86,000 subscribers. 

Please let us know if you would like to collaborate with us on promoting the event. 

That’s all for now. Please send me another update."
audio_21@29-01-2024_13-56-41.ogg,21,2024-01-29 13:56:41,"Too bad, I noticed it only now. So the reason I noticed is because there is another email about Quack and Amit. And then I thought, wait a minute, like, why do we have two emails to Quack? And then I come, fuck, it's actually not Quack. So we need to be more careful. So when we write to clients, sponsors, potential sponsors, we also check the domain name. Like here is sahar, whatever, at iguazio.com. And then we need to make sure that the subject matches, actually matches the domain name, right? And then we send. I think we should start maybe preparing a process document for reaching out to sponsors with some templates. So let's start that. Mention that step. And yeah, we'll add more information there. Because I also want to start, like, we have this CRM with many, many things. And I want to start using it more. I've used it a couple of times recently. But I want to start using it more for finding sponsors.",Subject: Improving Communication with Sponsors,"I just realized something important. I noticed it while going through another email about Quack and Amit. I thought it was strange that we had two emails regarding Quack, only to discover that one wasn't actually from Quack. This highlights the need for us to be more careful when contacting clients and potential sponsors.

Moving forward, we should always verify the domain name of the email sender. For example, if we see an email from sahar@iguazio.com, we need to ensure that the subject line aligns with the domain name before we send any communication.

Additionally, I propose that we start preparing a process document for reaching out to sponsors. This document can include some templates to streamline our communication. I believe it's essential to outline this step.

Furthermore, I want us to utilize our CRM system more effectively. I have used it a couple of times recently, but I think it can help us significantly in finding sponsors if we make it a routine part of our process. Let's prioritize this going forward."
audio_22@03-02-2024_16-28-05.ogg,22,2024-02-03 16:28:05,"Did we send it in the voice? I asked you to prepare for the course workshops for two days for 1,000. I just don't remember seeing it. Maybe I just missed it.",Course Workshop Preparation,"Did we send the information in the voice message? I asked you to prepare for the course workshops over two days for a total of 1,000 participants. However, I don’t remember seeing it. It’s possible that I just missed it."
audio_23@03-02-2024_21-27-40.ogg,23,2024-02-03 21:27:40,"Please create an invoice for $5,000, US dollars, for Saturn Cloud. I think we should already have Saturn Cloud in our address book. If not, let me know. So, in this $5,000, $2,000 should be for sponsoring the course, Machine Learning Zoom Camp, and $3,000 for sponsoring a competition. And then include a payment link. I don't remember how much percent. Okay, for this one, let's not add percent, because previously the arrangements we had with them did not include any fees for processing the payment link, so just create that. And then, once it's ready, make sure that, in case they want to pay, not with the payment link, but with the address. It's the Revolute email. And then I'll try to find the email right now that you want to use for sending.",Invoice Creation for Saturn Cloud,"Please create an invoice for $5,000 USD for Saturn Cloud. We should already have Saturn Cloud in our address book; if not, please let me know.

The invoice should allocate $2,000 for sponsoring the Machine Learning Zoom Camp course and $3,000 for sponsoring a competition. Additionally, please include a payment link with the invoice. 

For this invoice, do not include any processing fee percentage. Previously, our arrangements with them did not include any fees for processing the payment link. 

Once the invoice is ready, ensure that you include the option for payment via the Revolut email address, in case they prefer not to use the payment link. I will find the appropriate email to use for sending shortly."
audio_24@07-02-2024_19-16-28.ogg,24,2024-02-07 19:16:28,"So our accounts accountants tell me Have told me that We have not sent them the documents so they expected that we would use the link the new way of uploading documents and We sent them an email. So can you please redo it for? January using the upload link and also send it with Like the February one or wait, we don't have February on so yeah for January, please send it with the new upload link Because they asked me to do it as soon as possible",Document Submission Update,"Our accountants have informed me that we haven't sent them the required documents. They expected us to use the new upload link for submitting these documents, but we sent them an email instead. 

Please redo the submission for January using the upload link. Additionally, since we don't have the documents for February yet, just focus on January for now. They have requested that this be done as soon as possible."
audio_25@13-02-2024_13-58-12.ogg,25,2024-02-13 13:58:12,"They both just sent me a connection request and I think they have an interesting profile. So what you can write to both of them is, like, hi, name, thanks for your connection request and reaching out. I took a look at your profile and I found it quite interesting. So I was wondering if you'd be interested in being a guest at our podcast. And then you sent a link that you usually send that describes our events and a link to our podcast, datadogs.club.html, something like that. It's in the document, in the Google document. And let's create a new template. So this is for people who send a connection request to me, then this is something we can send them. And also, please send me the template we sent now. I think we might need to update it slightly. I want to update it. So please send me the template. I'll make some adjustments.",Connection Request Response Template,"I received two connection requests that caught my attention because of their interesting profiles. 

For each of them, we can use the following message: “Hi [Name], thank you for your connection request and for reaching out. I found your profile quite intriguing and was wondering if you would be interested in being a guest on our podcast.” 

Be sure to include the link to our events and the link to our podcast, which is found in the Google document (datadogs.club.html).

Additionally, I would like to create a new template specifically for individuals who send connection requests to me. 

Also, please send me the current template we are using. I believe it requires some slight updates, and I would like to make those adjustments."
audio_26@14-02-2024_16-30-52.ogg,26,2024-02-14 16:30:52,"Please make sure that all the events on Luma are also, I'm also hosting them because I cannot change them. Like you need to add me as a host too. So I think we should have this in the process documents. If we do not, please review them and add me, add that in the process. Because like I'm trying for the second day in a row, I'm trying to change something. I should want to change the link, but I cannot. And also I think the next one, the one from Alex is not managed by me too. And he said that he has not received the link and we have not asked him to promote the event. So this is important. Please do not forget to do that.",Event Hosting and Management Update,"Please ensure that I am added as a host for all the events on Luma, as I do not have the ability to make changes myself. This should be included in our process documents. If it isn’t already, please review the documents and add this information.

I am currently facing issues because, for the second day in a row, I cannot change certain details, such as the event link. Additionally, the upcoming event hosted by Alex is not under my management either. He mentioned that he has not received the event link, and we have not requested him to promote it.

It’s crucial that we address these points to avoid any confusion or oversight in our event management. Thank you for your attention to this matter."
audio_27@15-02-2024_21-52-35.ogg,27,2024-02-15 21:52:35,So what I just forwarded you is We asked this is related to your question from Gonzalo What kind of things students need for the webinar so can you please from this Post check the answers and copy all the answers to a Google document and then send it to him,Webinar Preparation for Students,"I just forwarded you some information related to Gonzalo's question about what students need for the webinar. 

Can you please check the answers from this post? Once you've done that, copy all the responses into a Google document. 

Finally, send the document to him. Thank you!"
audio_28@22-02-2024_20-04-47.ogg,28,2024-02-22 20:04:47,when you reply you can say yeah thanks for pointing out here's the updated in voice with USD,Updated Voice Note with USD,Thank you for pointing that out. Here's the updated voice note with USD included.
audio_29@23-02-2024_14-07-17.ogg,29,2024-02-23 14:07:17,"Hey Francis, never convert euros to USD directly. Use Google. We have process documents for that. What you send is costing us money. We will get 500 euros less or something like that. So please use Google to convert from 5500 to USD and then send it to them.",Currency Conversion Guidelines,"Hey Francis, never convert euros to USD directly. Always use Google for accurate conversions. 

We have process documents that outline the correct procedure. What you sent is costing us money, and we will be losing about 500 euros. 

Please convert 5,500 euros to USD using Google before sending the amount to them."
audio_30@29-02-2024_17-35-38.ogg,30,2024-02-29 17:35:38,"Did quack confirm so if they did and I think there are two free slots for March, right? So if double cloud doesn't take the one on Monday Because I guess quack wants the other one right that is not on Monday and for double cloud They need something as soon as possible so like if they I Guess it's fine, right? So like we have this lot on Monday for double cloud if they go for it, and the other one is for quack if I am not mistaken",Scheduling Updates for March,"Did Quack confirm the bookings? If so, I believe there are two free slots available for March. If Double Cloud does not take the slot on Monday, Quack is interested in the other slot, which is not on Monday. 

Double Cloud needs a solution as soon as possible, so if they opt for the Monday slot, that works out. To summarize, we have the Monday slot available for Double Cloud, and the other slot is reserved for Quack, if I am not mistaken."
audio_31@29-02-2024_17-51-07.ogg,31,2024-02-29 17:51:07,"Okay, so maybe add a note somewhere in a process document or somewhere else. So I think you know that, but just to make sure you have the information. The newsletter costs 1,500 euros and the workshop costs 5,000. So just in case, I think you already know the prices. But yeah, maybe put this in a document somewhere.",Pricing Information for Newsletter and Workshop,"Please add a note regarding the pricing in a relevant process document. 

The newsletter costs 1,500 euros, while the workshop is priced at 5,000 euros. 

I believe you're already aware of these prices, but it's a good idea to have this information documented for reference."
audio_32@29-02-2024_21-50-57.ogg,32,2024-02-29 21:50:57,so we can tell them something like yeah it was a bit of a short notice looks like we didn't manage to agree to arrange everything in time so apologies for that let's aim for the next free slot which is and then we can give them the next date provided that they don't they do not answer tomorrow by let's say 11 a.m. so if they don't we go forward with double cloud right and we write them that yeah like it was a bit of we were a bit short on time so yeah like let's aim for the next free slot,Scheduling Follow-Up,"We need to inform them that we were unable to arrange everything in time and apologize for the short notice. We should suggest the next available time slot for our meeting.

If we don’t receive a response by tomorrow at 11 a.m., we will proceed with double cloud. In our message, we can reiterate that the delay was due to time constraints and confirm that we would still like to aim for the next free slot."
audio_33@01-03-2024_09-35-13.ogg,33,2024-03-01 09:35:13,"So we can tell them something like, yeah, with payment link it's possible. So, but we add like 2% or however many, and then we can immediately send the invoice and ask them to, like the usual stuff you send for, like this template and so on. But probably we should create a different document so Quark does not see that. So let's create a copy so they don't see that there is somebody else editing the document. And I think let's send them the, like in half an hour, let's say, if nobody answers in half an hour, we can send them.",Payment Link Process,"We can inform them that using the payment link is an option. However, we should add a fee of around 2% or another appropriate amount. Once we do that, we can promptly send the invoice along with the standard templates we usually use.

Additionally, it might be prudent to create a separate document to ensure Quark doesn't see any other edits being made. We should duplicate the document to maintain confidentiality.

Let's aim to send everything out in about half an hour. If we don’t receive a response by then, we can proceed to send the details anyway."
audio_34@02-03-2024_11-49-57.ogg,34,2024-03-02 11:49:57,So when you write on a Hita about the scheduling please apologize to hear about miscommunication and then offer a few slots in the future and also when I send some context to Johanna please make sure Johanna actually sees that so it's not like I'm just sending it to you but it's more like I'm sending it to you so you send it to her okay thanks,Scheduling Communication,"When you write on Hita about the scheduling, please apologize for the miscommunication. Additionally, offer a few slots for future meetings. 

Also, when I send some context to Johanna, please ensure that she actually sees it. It's important that it’s not just going through you, but that I’m sending it directly for her attention. 

Thank you."
audio_35@02-03-2024_12-31-19.ogg,35,2024-03-02 12:31:19,"You can ask her to send us, to send me or you, just give answer with email, so then you can contact her to arrange it in a couple of months, something like that.",Arranging Email Communication,"You can ask her to send us an email response. This way, you can contact her directly to arrange a meeting or discussion in a couple of months."
audio_36@02-03-2024_12-33-37.ogg,36,2024-03-02 12:33:37,"Also, Hagop, one of the speakers, previous speakers, wants to speak again. I have asked him to write to you. He knows your email. So expect a message, an email from him sometime in the future.",Follow-up from Hagop,"Hagop, one of the previous speakers, would like to speak again. I have asked him to write to you directly since he has your email address. 

Please expect an email from him in the near future."
audio_37@03-03-2024_23-01-16.ogg,37,2024-03-03 23:01:16,"Also, please write on a heater that tomorrow we do not have a call I From our conversation with Johanna and is to that she just wanted to have a chat But like I don't see a point. So maybe you can write here that Yeah, I apologize for miscommunication for tomorrow we planned to have a recording of the podcast episode but It seems like we need a bit more time, so let's push it by a few weeks you suggest here a different date and then we can just Yeah, ask her if she has any questions or concerns that we can address and then we can just yeah do that",Update on Tomorrow's Call,"I wanted to clarify that we do not have a call scheduled for tomorrow. In our conversation with Johanna, she mentioned that she just wanted to have a chat, but I don't see much value in that.

I apologize for any miscommunication regarding our plans. We initially scheduled to record the podcast episode tomorrow, but it seems we need a bit more time. Let's push this recording back by a few weeks. Please suggest an alternative date.

We should also ask Johanna if she has any questions or concerns that we can address during this time."
"audio_38@13-03-2024_07-53-12.ogg,audio_39@13-03-2024_07-53-33.ogg","38,39",2024-03-13 07:53:12,"It just occurred to me, did we send the emails of people who registered for the workshops for both DLT Hub and Rising Wave? Because like we had this workshop, sponsored workshop, and there is the tick that people can mark, check if they want to share their email with sponsors. Because I don't remember seeing an email from us to them, so I just wanted to check if we actually did that. Yeah, and also for the other workshop that we had recently, was it from Curren AI? Yeah, I think it was Curren AI.",Workshop Email Follow-Up,"It just occurred to me whether we sent the emails of the individuals who registered for the workshops for both DLT Hub and Rising Wave. For the recent sponsored workshop, participants had the option to check a box if they wanted to share their email with sponsors. I don’t recall seeing an email sent to them, so I wanted to confirm if we actually did that.

Additionally, I would like to discuss the other workshop we held recently. Was that one sponsored by Curren AI? I believe it was, but I just want to be sure."
audio_40@18-03-2024_13-41-43.ogg,40,2024-03-18 13:41:43,"So, I don't think it was average, we usually have fewer viewers joining live. So maybe what you can do is you can share the live stats. Remember this graph that we sent to sponsors about the event? About the number of live joiners or like concurrent live viewers, I don't remember how it's called. So then maybe you can just take this one and then for comparison send a couple of screenshots from, I don't know, P Class 2 or 3, not the one that we had today. Oh, yeah, including the one that we had today and then like maybe take one from a month back, I don't know, and then show like this is yours and this is what we had and I think it was quite actually good for a podcast interview, so make sure that when we do this you only take podcasts. And then what you wrote in the email was that you wrote signups, registrations, so not the... Like I will read the message one more time.",Live Viewership Analysis,"I don't think our viewership was average; we typically have fewer viewers joining live. Perhaps you could share the live statistics with that in mind. Remember the graph we sent to sponsors about the event, specifically regarding the number of concurrent live viewers? 

You could use that graph for comparison and take a few screenshots from previous classes, like P Class 2 or 3, along with today's numbers. It would be valuable to include a screenshot from a month ago as well. This way, you can present a clear comparison: ""This is yours, and this is what we had."" 

Overall, I believe our viewership was quite good for a podcast interview. When preparing this information, please ensure you only take data from podcasts. Additionally, I noticed that in your email, you mentioned sign-ups and registrations, so I need to read that message over once more for clarity."
"audio_41@18-03-2024_13-42-44.ogg,audio_42@18-03-2024_13-43-05.ogg","41,42",2024-03-18 13:42:44,"Yeah, you write number of participants. This is the number of people who registered. So this is a very important distinction. And like, we also need to, like for Luma and Meetup, right? So you can just say this is number of registrants we had from Luma, from Meetup. This is how many people came to the live event. You can include a chart and you can say for comparison. So that one had that many live viewers. That one had that many live viewers. And then you can also include the number of views from YouTube. You can say, okay, look for now, you had this number of views and then take a few episodes from, I don't know, last month, podcast episodes. And you say, okay, this is the number of views they got. and yeah thanks for picking this up because like I completely missed that email even though I see myself in the recipients I don't know like I didn't see this email so thanks a lot for picking up picking that up and asking me for feedback",Tracking Participation Metrics,"First, it's important to clarify the number of participants. This figure represents the total number of people who registered for the event. 

For platforms like Luma and Meetup, we should specify the number of registrants we had from each. Additionally, we should document how many people actually attended the live event. Including a chart would be beneficial for comparison. For instance, you can show the number of live viewers for each platform. 

We should also include YouTube view counts. For example, we can highlight the current number of views for our latest episode and compare it to several episodes from last month.

Lastly, I want to thank you for bringing this up. I completely missed that email, even though I was in the recipient list. I appreciate you reaching out for my feedback."
audio_43@24-03-2024_10-38-31.ogg,43,2024-03-24 10:38:31,"Okay, I still need your ideas on how to make sure we don't miss on important things like sending templates to sponsors. In the meantime, I created two reminders. So the first reminder will go off every Friday. We already have one on Friday, checking with Dave and Pavel about podcast episodes. So there will be a different one, which reminds you to send a report, a weekly status report from previous Saturday. So please also include weekends because I know you sometimes do things on the weekend and I'm really grateful to you for doing that. But please include that. I know it's just a little bit of time, but I just want to know your total weekly hours, right? And then the other thing, I don't know if there is probably a better way. Please let me know if you have any ideas. But for making sure we don't miss anything, I created another reminder that goes off every working day from Monday to Friday. It will go together with this inviting people to Slack.",Managing Important Tasks and Reminders,"I still need your ideas on how to ensure we don't miss important tasks, like sending templates to sponsors. In the meantime, I have created two reminders to help us stay organized.

The first reminder will go off every Friday. We already have a reminder on Fridays to check in with Dave and Pavel about podcast episodes. I added a different reminder that will prompt you to send a weekly status report from the previous Saturday. Please remember to include your weekend activities, as I know you sometimes work on weekends, and I really appreciate your efforts. Including this information will help me understand your total weekly hours.

Additionally, I created another reminder that goes off every working day from Monday to Friday. This reminder will coincide with inviting people to Slack. If you have any better ideas for making sure we don't overlook anything, please let me know."
